return_id,order_id,return_date,return_reason,refund_amount
300094,9001553,2024-10-25,Changed Mind,4141.43
300095,9001559,2024-04-06,Quality Issue,304.09
300096,9001639,2025-07-01,Damaged,8438.28
300097,9001657,2024-12-31,Quality Issue,1504.76
300098,9001668,2025-12-05,Late Delivery,9952.9
300099,9001670,2024-04-21,Late Delivery,5400.81
300100,9001686,2024-12-05,Wrong Item,362.29
300101,9001689,2025-10-27,Wrong Item,1201.57
300102,9001692,2025-03-21,Wrong Item,1172.22
300103,9001715,2025-10-20,Changed Mind,1572.58
300104,9001726,2025-10-26,Quality Issue,1756.92
300105,9001741,2024-06-18,Quality Issue,497.41
300106,9001750,2024-12-14,Late Delivery,2325.23
300107,9001754,2024-05-15,Changed Mind,6092.62
300108,9001761,2025-09-07,Changed Mind,7159.1
300109,9001767,2025-06-30,Damaged,825.24
300110,9001813,2024-02-12,Damaged,5358.31
300111,9001850,2024-10-30,Wrong Item,10364.37
300112,9001854,2024-09-29,Changed Mind,3836.34
300113,9001857,2025-11-01,Wrong Item,1557.74
300114,9001868,2025-10-15,Quality Issue,1623.78
300115,9001878,2024-08-13,Late Delivery,411.46
300116,9001885,2025-01-13,Quality Issue,1855.99
300117,9001901,2025-03-19,Changed Mind,2295.5
300118,9001939,2025-12-11,Changed Mind,2198.26
300119,9001942,2025-02-22,Damaged,462.18
300120,9001957,2025-03-23,Damaged,2224.65
300121,9001974,2025-10-21,Changed Mind,1421.37
300122,9002002,2024-03-10,Damaged,2199.74
300123,9002007,2025-10-03,Changed Mind,2515.48
300124,9002026,2025-06-18,Wrong Item,243.75
300125,9002074,2024-12-16,Wrong Item,8307.09
300126,9002077,2025-10-13,Quality Issue,653.01
300127,9002119,2024-04-15,Damaged,10940.17
300128,9002136,2025-01-12,Changed Mind,1265.78
300129,9002159,2025-06-23,Quality Issue,9236.83
300130,9002164,2025-03-14,Changed Mind,2011.98
300131,9002171,2025-04-14,Wrong Item,587.42
300132,9002184,2024-07-19,Changed Mind,1302.66
300133,9002187,2025-12-10,Quality Issue,13879.66
300134,9002194,2024-05-30,Quality Issue,837.47
300135,9002197,2024-08-26,Changed Mind,14362.43
300136,9002199,2025-08-31,Wrong Item,1177.78
300137,9002278,2025-04-18,Late Delivery,684.28
300138,9002285,2025-09-15,Damaged,2112.18
300139,9002317,2025-04-02,Quality Issue,2251.86
300140,9002321,2024-02-20,Damaged,2423.99
300141,9002327,2024-11-09,Quality Issue,333.18
300142,9002335,2024-06-17,Changed Mind,1956.59
300143,9002350,2025-07-29,Changed Mind,7929.7
300144,9002364,2025-12-23,Late Delivery,19387.79
300145,9002394,2024-06-29,Quality Issue,5666.04
300146,9002403,2025-11-08,Changed Mind,22901.75
300147,9002414,2024-10-20,Wrong Item,3605.79
300148,9002427,2024-12-09,Damaged,430.63
300149,9002443,2024-02-09,Damaged,512.89
300150,9002449,2025-12-19,Changed Mind,1840.19
300151,9002469,2024-01-31,Wrong Item,55767.87
300152,9002490,2025-09-07,Changed Mind,856.96
300153,9002526,2025-12-26,Wrong Item,936.79
300154,9002572,2024-04-09,Late Delivery,1670.74
300155,9002581,2024-09-07,Damaged,5212.57
300156,9002593,2024-06-23,Wrong Item,1758.46
300157,9002620,2024-02-20,Wrong Item,3605.63
300158,9002632,2024-03-28,Late Delivery,7060.19
300159,9002640,2025-12-29,Quality Issue,7578.98
300160,9002653,2025-06-17,Damaged,1805.73
300161,9002662,2025-05-10,Changed Mind,2649.0
300162,9002663,2025-02-01,Changed Mind,20664.7
300163,9002678,2025-02-13,Quality Issue,1154.76
300164,9002692,2025-02-15,Quality Issue,18199.34
300165,9002697,2025-01-19,Changed Mind,2740.97
300166,9002714,2025-08-26,Wrong Item,2815.43
300167,9002745,2025-01-08,Changed Mind,4830.75
300168,9002755,2025-11-15,Quality Issue,3122.64
300169,9002775,2024-04-13,Late Delivery,7821.48
300170,9002803,2025-06-13,Changed Mind,1905.74
300171,9002812,2024-05-07,Late Delivery,1037.97
300172,9002814,2024-08-22,Changed Mind,2600.26
300173,9002842,2025-12-14,Wrong Item,1451.92
300174,9002857,2025-06-29,Quality Issue,9861.69
300175,9002912,2024-08-30,Quality Issue,3097.86
300176,9002942,2024-02-15,Damaged,4072.55
300177,9002952,2025-02-13,Damaged,3905.64
300178,9002959,2024-11-05,Changed Mind,2394.25
300179,9002983,2025-02-26,Wrong Item,2678.47
300180,9003006,2024-07-17,Wrong Item,3535.28
300181,9003008,2025-06-18,Quality Issue,592.16
300182,9003036,2025-08-26,Quality Issue,2303.04
300183,9003079,2025-07-28,Changed Mind,36938.6
300184,9003082,2024-05-02,Wrong Item,1685.91
300185,9003083,2024-01-22,Late Delivery,2757.35
300186,9003095,2025-03-24,Changed Mind,38898.26
300187,9003145,2024-06-26,Wrong Item,912.42
300188,9003161,2025-10-04,Late Delivery,1315.53
300189,9003165,2025-05-20,Damaged,453.6
300190,9003221,2025-10-19,Changed Mind,2133.42
300191,9003240,2025-07-05,Damaged,5982.42
300192,9003243,2024-10-09,Damaged,4618.42
300193,9003247,2025-11-05,Changed Mind,6479.25
300194,9003250,2025-09-01,Quality Issue,1732.14
300195,9003253,2025-04-26,Quality Issue,2619.79
300196,9003262,2025-07-06,Wrong Item,2067.06
300197,9003293,2025-07-06,Quality Issue,410.88
300198,9003319,2024-12-27,Damaged,2441.92
300199,9003327,2025-02-13,Wrong Item,267.16
300200,9003336,2024-06-07,Damaged,1526.61
300201,9003380,2024-06-24,Late Delivery,26378.09
300202,9003391,2024-05-17,Wrong Item,1943.64
300203,9003402,2024-09-16,Wrong Item,1805.66
300204,9003403,2024-06-05,Quality Issue,4573.88
300205,9003405,2025-06-21,Late Delivery,1038.5
300206,9003415,2024-07-24,Quality Issue,6921.28
300207,9003469,2024-09-19,Changed Mind,2783.14
300208,9003488,2024-01-24,Damaged,2115.67
300209,9003497,2024-01-15,Late Delivery,211.98
300210,9003510,2024-04-05,Damaged,117.62
300211,9003513,2024-10-21,Wrong Item,2500.1
300212,9003533,2024-09-05,Damaged,514.55
300213,9003566,2024-06-23,Late Delivery,33573.92
300214,9003572,2024-11-30,Damaged,1211.67
300215,9003586,2024-04-01,Quality Issue,529.48
300216,9003592,2024-05-14,Late Delivery,1793.64
300217,9003609,2025-03-24,Quality Issue,1478.64
300218,9003618,2024-10-01,Late Delivery,5000.19
300219,9003675,2025-11-22,Quality Issue,2609.84
300220,9003679,2025-09-04,Changed Mind,2783.14
300221,9003689,2025-07-06,Wrong Item,1042.16
300222,9003690,2025-01-11,Wrong Item,646.08
300223,9003756,2025-07-05,Quality Issue,462.42
300224,9003764,2025-12-15,Late Delivery,698.94
300225,9003797,2025-02-12,Quality Issue,537.14
300226,9003820,2024-10-05,Damaged,660.0
300227,9003823,2025-07-13,Damaged,44577.81
300228,9003871,2024-04-22,Damaged,1476.61
300229,9003883,2024-11-12,Late Delivery,89.1
300230,9003933,2025-06-06,Wrong Item,2425.14
300231,9003937,2025-06-22,Quality Issue,1732.78
300232,9003949,2025-03-12,Wrong Item,5809.25
300233,9003950,2024-02-12,Changed Mind,1012.4
300234,9003960,2024-08-10,Wrong Item,526.8
300235,9003966,2025-06-24,Quality Issue,1150.33
300236,9004007,2026-01-03,Wrong Item,6167.34
300237,9004009,2025-09-10,Quality Issue,1806.24
300238,9004032,2025-01-04,Late Delivery,15187.94
300239,9004052,2025-02-03,Quality Issue,532.88
300240,9004056,2025-01-23,Late Delivery,502.52
300241,9004081,2024-05-07,Changed Mind,3516.6
300242,9004095,2024-12-20,Late Delivery,1426.97
300243,9004137,2025-02-27,Wrong Item,1007.16
300244,9004139,2025-08-05,Late Delivery,3039.12
300245,9004165,2024-10-02,Late Delivery,407.82
300246,9004186,2025-06-27,Late Delivery,178.2
300247,9004245,2025-05-22,Changed Mind,3898.54
300248,9004268,2025-04-30,Changed Mind,3229.14
300249,9004292,2024-08-26,Wrong Item,668.92
300250,9004310,2024-09-19,Quality Issue,1686.54
300251,9004357,2024-11-19,Damaged,4585.41
300252,9004360,2025-04-21,Changed Mind,8631.16
300253,9004398,2025-11-11,Late Delivery,104.77
300254,9004410,2024-12-15,Changed Mind,1163.55
300255,9004411,2024-11-28,Wrong Item,5813.48
300256,9004430,2024-02-06,Wrong Item,3142.93
300257,9004454,2025-06-08,Quality Issue,848.07
300258,9004478,2025-04-26,Quality Issue,2518.6
300259,9004615,2025-11-20,Wrong Item,2530.31
300260,9004617,2025-11-29,Wrong Item,1997.68
300261,9004636,2024-03-30,Quality Issue,504.99
300262,9004641,2024-06-08,Quality Issue,2594.69
300263,9004665,2025-06-16,Changed Mind,5111.87
300264,9004677,2024-05-22,Damaged,21339.21
300265,9004697,2025-07-10,Wrong Item,642.37
300266,9004736,2024-10-07,Quality Issue,23031.94
300267,9004743,2024-07-09,Late Delivery,773.85
300268,9004759,2024-02-01,Quality Issue,1403.86
300269,9004779,2024-10-15,Late Delivery,1853.61
300270,9004798,2024-10-14,Changed Mind,1528.06
300271,9004833,2025-11-03,Late Delivery,38431.73
300272,9004847,2024-01-27,Wrong Item,514.37
300273,9004853,2024-06-12,Changed Mind,57906.76
300274,9004892,2025-03-12,Wrong Item,1519.59
300275,9004916,2024-05-08,Quality Issue,1959.21
300276,9004929,2024-01-08,Changed Mind,2149.18
300277,9004944,2025-01-16,Late Delivery,245.58
300278,9004958,2024-01-22,Damaged,4730.25
300279,9004961,2025-10-16,Damaged,805.1
300280,9004986,2024-03-08,Damaged,443.55
300281,9005007,2025-11-10,Quality Issue,20019.78
300282,9005034,2024-12-30,Changed Mind,5275.37
300283,9005041,2025-01-14,Changed Mind,2462.91
300284,9005043,2025-06-30,Changed Mind,1409.39
300285,9005048,2024-03-08,Wrong Item,1174.01
300286,9005050,2024-05-11,Late Delivery,2194.3
300287,9005067,2024-08-13,Quality Issue,14270.84
300288,9005097,2024-06-15,Late Delivery,2099.5
300289,9005113,2025-12-16,Wrong Item,727.16
300290,9005131,2024-04-20,Wrong Item,1605.48
300291,9005182,2024-07-26,Changed Mind,1031.32
300292,9005189,2024-07-20,Quality Issue,852.38
300293,9005202,2024-11-14,Damaged,1434.55
300294,9005282,2025-12-07,Damaged,1318.75
300295,9005287,2024-07-15,Quality Issue,435.23
300296,9005319,2025-09-10,Quality Issue,3891.86
300297,9005322,2024-08-15,Late Delivery,373.4
300298,9005331,2024-12-20,Late Delivery,1692.5
300299,9005352,2025-08-06,Quality Issue,2375.26
300300,9005373,2024-07-31,Wrong Item,2387.98
300301,9005395,2024-12-17,Wrong Item,20279.43
300302,9005403,2025-03-27,Changed Mind,11991.24
300303,9005411,2024-07-28,Late Delivery,770.94
300304,9005458,2026-01-04,Late Delivery,428.87
300305,9005464,2024-07-23,Late Delivery,8470.11
300306,9005475,2024-11-23,Late Delivery,1250.57
300307,9005484,2025-01-26,Late Delivery,1358.03
300308,9005492,2024-10-18,Damaged,773.48
300309,9005532,2024-11-09,Late Delivery,3613.45
300310,9005540,2024-05-28,Damaged,57290.98
300311,9005555,2024-09-21,Damaged,1250.64
300312,9005556,2024-03-15,Late Delivery,20839.17
300313,9005588,2024-08-27,Damaged,2214.59
300314,9005599,2024-11-02,Late Delivery,1251.6
300315,9005614,2024-04-11,Quality Issue,1535.66
300316,9005634,2025-09-05,Wrong Item,35899.94
300317,9005638,2025-06-07,Wrong Item,1199.37
300318,9005673,2025-10-13,Wrong Item,1116.86
300319,9005686,2024-12-02,Late Delivery,3402.27
300320,9005734,2024-04-19,Damaged,558.62
300321,9005736,2024-02-03,Quality Issue,974.75
300322,9005753,2024-03-12,Wrong Item,711.77
300323,9005756,2025-04-09,Quality Issue,11585.8
300324,9005791,2024-06-03,Quality Issue,3039.12
300325,9005794,2024-05-08,Late Delivery,1568.43
300326,9005824,2024-01-11,Quality Issue,510.6
300327,9005832,2025-04-24,Changed Mind,26415.48
300328,9005848,2024-03-29,Quality Issue,257.26
300329,9005869,2024-10-21,Damaged,195.28
300330,9005875,2025-06-30,Damaged,870.37
300331,9005932,2025-06-25,Damaged,254.56
300332,9005933,2025-01-31,Changed Mind,4091.63
300333,9005938,2025-04-12,Changed Mind,1010.55
300334,9005972,2025-12-27,Damaged,475.14
300335,9005974,2024-06-05,Late Delivery,3565.08
300336,9005990,2025-08-26,Wrong Item,15856.49
300337,9005991,2025-09-22,Late Delivery,525.03
300338,9005992,2025-08-30,Quality Issue,4804.84
300339,9006005,2025-01-09,Quality Issue,819.1
300340,9006017,2024-06-13,Quality Issue,842.18
300341,9006020,2025-05-23,Late Delivery,34142.74
300342,9006023,2025-08-04,Quality Issue,315.15
300343,9006046,2024-08-18,Changed Mind,957.08
300344,9006057,2025-11-23,Quality Issue,2151.65
300345,9006092,2025-08-27,Changed Mind,4172.27
300346,9006101,2024-01-27,Damaged,3956.53
300347,9006105,2025-12-21,Quality Issue,888.49
300348,9006128,2024-01-03,Quality Issue,4533.6
300349,9006146,2024-12-08,Late Delivery,20203.48
300350,9006163,2025-09-29,Changed Mind,1230.78
300351,9006222,2024-12-20,Wrong Item,2720.56
300352,9006237,2025-06-19,Quality Issue,3624.37
300353,9006244,2025-11-23,Damaged,4428.87
300354,9006249,2025-10-27,Changed Mind,658.37
300355,9006277,2025-10-24,Changed Mind,266.85
300356,9006278,2024-08-23,Quality Issue,6240.95
300357,9006279,2025-05-14,Quality Issue,2441.54
300358,9006291,2025-03-13,Changed Mind,1536.85
300359,9006307,2024-07-21,Changed Mind,1468.14
300360,9006308,2025-04-15,Changed Mind,4005.64
300361,9006325,2025-08-26,Changed Mind,2914.47
300362,9006412,2025-04-08,Late Delivery,2212.6
300363,9006414,2024-08-07,Wrong Item,774.47
300364,9006434,2024-10-01,Wrong Item,1469.26
300365,9006443,2024-10-10,Wrong Item,2346.44
300366,9006452,2025-01-14,Damaged,991.21
300367,9006481,2024-09-22,Late Delivery,303.28
300368,9006495,2024-01-23,Quality Issue,11620.94
300369,9006524,2024-02-29,Late Delivery,2182.42
300370,9006528,2025-05-10,Changed Mind,1264.43
300371,9006538,2025-11-08,Changed Mind,1998.29
300372,9006545,2024-04-13,Changed Mind,695.38
300373,9006548,2024-03-21,Late Delivery,76975.4
300374,9006586,2025-06-21,Changed Mind,2191.86
300375,9006599,2025-10-10,Changed Mind,11434.7
300376,9006636,2025-10-14,Wrong Item,3761.42
300377,9006639,2024-08-22,Late Delivery,1082.29
300378,9006659,2024-11-02,Quality Issue,94.29
300379,9006727,2024-05-05,Damaged,1295.02
300380,9006730,2025-08-11,Late Delivery,1533.2
300381,9006741,2024-03-16,Quality Issue,5886.52
300382,9006807,2024-11-22,Wrong Item,2912.65
300383,9006829,2025-02-03,Damaged,2523.81
300384,9006836,2024-10-30,Quality Issue,2154.6
300385,9006853,2025-07-08,Late Delivery,693.85
300386,9006861,2024-11-11,Wrong Item,9915.76
300387,9006873,2025-09-28,Changed Mind,809.86
300388,9006901,2024-11-15,Quality Issue,2649.55
300389,9006903,2025-09-25,Quality Issue,4616.54
300390,9006906,2024-12-02,Changed Mind,22529.84
300391,9006907,2025-11-30,Late Delivery,885.19
300392,9006911,2025-07-28,Late Delivery,1783.8
300393,9006926,2024-08-18,Late Delivery,985.17
300394,9006944,2024-06-28,Wrong Item,9791.12
300395,9006946,2024-09-07,Changed Mind,1187.96
300396,9006948,2025-08-20,Wrong Item,481.6
300397,9006957,2025-01-13,Late Delivery,1103.12
300398,9006971,2025-08-06,Late Delivery,17988.34
300399,9007004,2025-12-02,Wrong Item,745.93
300400,9007012,2024-07-03,Changed Mind,396.0
300401,9007022,2024-04-28,Late Delivery,547.08
300402,9007044,2025-09-04,Late Delivery,645.66
300403,9007092,2025-07-27,Damaged,3317.27
300404,9007118,2025-11-12,Damaged,5178.3
300405,9007153,2025-10-23,Late Delivery,6607.17
300406,9007154,2024-11-27,Changed Mind,775.12
300407,9007161,2025-01-14,Quality Issue,18273.6
300408,9007204,2025-11-18,Quality Issue,1527.6
300409,9007291,2025-02-16,Quality Issue,378.75
300410,9007341,2024-10-06,Late Delivery,14756.49
300411,9007376,2025-06-19,Wrong Item,880.0
300412,9007397,2025-11-24,Changed Mind,3244.28
300413,9007417,2024-05-31,Damaged,528.97
300414,9007423,2024-09-12,Changed Mind,719.31
300415,9007430,2024-06-19,Wrong Item,551.5
300416,9007441,2025-09-04,Quality Issue,106.15
300417,9007445,2025-02-09,Damaged,10513.85
300418,9007457,2024-11-24,Quality Issue,1030.87
300419,9007459,2025-07-07,Damaged,7471.85
300420,9007504,2025-08-12,Wrong Item,12168.18
300421,9007559,2025-07-13,Damaged,10948.19
300422,9007596,2024-11-26,Quality Issue,7935.6
300423,9007608,2025-02-17,Changed Mind,481.36
300424,9007609,2026-01-05,Wrong Item,641.02
300425,9007612,2024-12-28,Changed Mind,3600.33
300426,9007615,2024-07-06,Late Delivery,1500.75
300427,9007646,2024-11-10,Quality Issue,1056.68
300428,9007670,2024-04-09,Late Delivery,572.35
300429,9007705,2024-04-30,Quality Issue,4115.46
300430,9007706,2024-12-28,Quality Issue,1613.96
300431,9007708,2025-07-31,Late Delivery,5001.32
300432,9007725,2025-10-31,Damaged,16269.32
300433,9007753,2024-03-28,Late Delivery,451.44
300434,9007780,2025-12-18,Late Delivery,537.38
300435,9007804,2025-10-31,Quality Issue,1791.1
300436,9007843,2024-06-23,Late Delivery,4832.13
300437,9007884,2024-10-24,Wrong Item,1170.51
300438,9007914,2024-04-14,Damaged,864.3
300439,9007915,2024-02-05,Damaged,30615.44
300440,9007970,2025-06-13,Late Delivery,4325.72
300441,9007975,2024-09-20,Changed Mind,1150.59
300442,9007983,2025-06-06,Damaged,568.8
300443,9007988,2025-08-09,Changed Mind,17446.56
300444,9007989,2025-07-14,Changed Mind,4532.12
300445,9008011,2025-07-12,Late Delivery,178.2
300446,9008019,2024-04-16,Changed Mind,7317.22
300447,9008028,2024-06-13,Damaged,490.43
300448,9008050,2025-12-02,Changed Mind,6084.09
300449,9008143,2025-05-20,Changed Mind,3413.74
300450,9008169,2025-03-12,Quality Issue,4099.76
300451,9008172,2024-05-22,Changed Mind,3140.69
300452,9008189,2024-01-20,Changed Mind,7648.22
300453,9008210,2024-04-03,Damaged,1133.4
300454,9008226,2025-10-27,Quality Issue,1720.8
300455,9008227,2024-07-29,Wrong Item,898.96
300456,9008235,2025-02-26,Wrong Item,2764.43
300457,9008255,2025-05-19,Quality Issue,10033.29
300458,9008261,2025-06-15,Changed Mind,1178.71
300459,9008263,2025-11-30,Late Delivery,2211.31
300460,9008295,2025-01-11,Late Delivery,2074.34
300461,9008312,2025-01-26,Late Delivery,18469.05
300462,9008326,2024-08-03,Quality Issue,1813.8
300463,9008341,2024-08-26,Damaged,830.87
300464,9008347,2024-10-06,Damaged,311.05
300465,9008357,2024-09-24,Quality Issue,631.22
300466,9008358,2024-10-05,Wrong Item,1471.59
300467,9008361,2024-11-07,Damaged,288.59
300468,9008374,2025-06-27,Late Delivery,1692.7
300469,9008377,2025-10-16,Changed Mind,3251.43
300470,9008393,2024-03-02,Damaged,1052.9
300471,9008410,2024-07-30,Late Delivery,11070.81
300472,9008426,2025-05-01,Damaged,41466.86
300473,9008432,2024-05-14,Wrong Item,3478.1
300474,9008438,2025-02-18,Changed Mind,578.68
300475,9008443,2024-11-21,Late Delivery,3463.51
300476,9008464,2025-09-17,Changed Mind,291.62
300477,9008504,2024-12-20,Wrong Item,357.32
300478,9008516,2024-10-16,Changed Mind,842.5
300479,9008518,2025-05-11,Damaged,3714.93
300480,9008580,2025-03-12,Changed Mind,1481.4
300481,9008585,2025-03-31,Wrong Item,1259.53
300482,9008604,2025-07-15,Quality Issue,12831.76
300483,9008624,2025-03-21,Quality Issue,2869.83
300484,9008682,2024-02-23,Wrong Item,729.19
300485,9008691,2024-12-08,Changed Mind,661.6
300486,9008699,2024-05-16,Damaged,10952.36
300487,9008701,2024-11-25,Quality Issue,4611.25
300488,9008720,2024-02-15,Quality Issue,2572.97
300489,9008824,2024-09-02,Changed Mind,5615.44
300490,9008831,2024-02-17,Wrong Item,1289.94
300491,9008859,2025-07-19,Wrong Item,1329.72
300492,9008867,2025-02-18,Damaged,11840.35
300493,9008873,2024-05-25,Quality Issue,1398.0
300494,9008908,2024-12-10,Late Delivery,1386.62
300495,9008910,2024-10-17,Changed Mind,343.71
300496,9008927,2024-10-11,Changed Mind,1380.73
300497,9008943,2026-01-02,Quality Issue,759.53
300498,9008949,2024-01-23,Late Delivery,2418.27
300499,9008955,2024-08-18,Quality Issue,927.14
300500,9008986,2024-07-29,Late Delivery,6084.09
300501,9008987,2024-04-09,Late Delivery,12690.47
300502,9009012,2025-02-03,Late Delivery,6863.55
300503,9009027,2024-04-18,Late Delivery,1212.09
300504,9009052,2025-02-25,Changed Mind,3636.98
300505,9009063,2025-07-19,Changed Mind,1672.0
300506,9009133,2025-06-27,Changed Mind,1758.28
300507,9009174,2025-08-15,Late Delivery,995.2
300508,9009177,2025-06-24,Damaged,4167.68
300509,9009202,2025-11-29,Changed Mind,698.57
300510,9009204,2024-08-03,Quality Issue,918.45
300511,9009238,2024-10-18,Wrong Item,4978.65
300512,9009291,2025-04-15,Quality Issue,3060.56
300513,9009318,2024-09-12,Late Delivery,5819.53
300514,9009320,2024-12-22,Changed Mind,2706.83
300515,9009344,2025-10-05,Late Delivery,2473.49
300516,9009435,2025-10-08,Wrong Item,2128.9
300517,9009444,2024-06-30,Quality Issue,123219.5
300518,9009483,2025-07-12,Wrong Item,952.51
300519,9009484,2024-07-16,Wrong Item,33314.96
300520,9009493,2025-11-07,Changed Mind,2773.02
300521,9009511,2024-03-11,Wrong Item,3161.37
300522,9009532,2024-06-17,Changed Mind,7754.6
300523,9009540,2025-09-06,Damaged,463.55
300524,9009553,2025-07-23,Quality Issue,9405.04
300525,9009579,2025-12-29,Late Delivery,1143.78
300526,9009616,2025-03-21,Changed Mind,808.79
300527,9009641,2024-08-16,Changed Mind,2478.52
300528,9009645,2025-05-24,Quality Issue,13217.79
300529,9009674,2024-05-16,Quality Issue,1403.69
300530,9009685,2024-08-28,Changed Mind,2164.2
300531,9009743,2025-06-08,Changed Mind,687.47
300532,9009746,2024-02-26,Changed Mind,2773.02
300533,9009750,2024-05-14,Late Delivery,4033.18
300534,9009759,2025-02-14,Late Delivery,998.84
300535,9009784,2024-03-19,Wrong Item,5183.88
300536,9009798,2025-11-07,Late Delivery,5175.93
300537,9009826,2025-10-31,Late Delivery,2106.11
300538,9009833,2025-01-03,Wrong Item,451.37
300539,9009847,2025-01-29,Changed Mind,1522.43
300540,9009876,2025-03-18,Wrong Item,856.83
300541,9009906,2025-03-04,Quality Issue,1191.3
300542,9009911,2025-06-28,Changed Mind,1103.72
300543,9009915,2025-09-24,Changed Mind,6488.26
300544,9009931,2024-07-22,Changed Mind,342.55
300545,9009940,2024-03-21,Quality Issue,712.54
300546,9009971,2025-12-04,Changed Mind,1219.62
300547,9009975,2025-05-02,Quality Issue,496.58
300548,9009999,2024-11-05,Wrong Item,2980.98
300549,9010048,2024-11-29,Wrong Item,6007.45
